id;name;price;core_count;core_clock;boost_clock;tdp;graphics;smt;socket
2458;Phenom II X4 965 Black (140W);;4;3.4;;140;;f;test
2460;Pentium E2180;;2;2;;65;;f;test
2471;Core i5-750S;125;4;2.4;;82;;f;test
2472;Core i7-965 Extreme Edition;;4;3.2;;130;;t;test
2480;Phenom II X2 565 Black;;2;3.4;;80;;f;test
2486;Phenom II X6 1100T Black;;6;3.3;;125;;f;test
2493;Xeon E3-1275 V2;;4;3.5;;77;HD Graphics P4000;t;test
2496;Xeon E5-2609 V2;;4;2.5;;80;;f;test
2498;A10-6800B;;4;4.1;4.4;100;Radeon HD 8670D;f;test
2502;Celeron G470;;1;2;;35;HD Graphics;t;test
2505;Athlon II X2 221;;2;2.8;;65;;f;test
2507;Xeon E5-2687W;;8;3.1;3.8;150;;t;test
2508;Athlon X4 550;;4;2.2;;25;;f;test
2509;Pro A8-7600B;;4;3.1;3.8;65;Radeon R7 (on-die);f;test
2510;Pro A4-7300B;;2;3.8;4;65;Radeon HD 8470D;f;test
2514;Xeon E3-1270 V3;;4;3.5;3.9;80;;t;test
2515;Xeon E5-2630 V2;;6;2.6;3.1;80;;t;test
2519;Core i5-6400T;;4;2.2;2.8;35;HD Graphics 530;f;test
2522;Pentium G4400T;;2;2.9;;35;HD Graphics 510;f;test
2523;Pentium G4500T;;2;3;;35;HD Graphics 530;f;test
2524;Pentium G3260;;2;3.3;;53;HD Graphics;f;test
2529;Core i3-7101TE;;2;3.4;;35;HD Graphics 610;t;test
2530;Xeon E3-1220 V6;398.95;4;3;3.5;72;;f;test
2531;Xeon E3-1225 V6;369.51;4;3.3;3.7;73;HD Graphics P630;f;test
2532;Xeon E3-1230 V6;449.95;4;3.5;3.9;72;;t;test
2537;Pentium Gold G5500T;;2;3.2;;35;UHD Graphics 630;t;test
2542;Xeon E-2174G;;4;3.8;4.7;71;HD Graphics P630;t;test
2543;Xeon E-2134;697;4;3.5;4.5;71;;t;test
2560;Phenom II X3 720 Black;;3;2.8;;95;;f;test
2561;Phenom II X3 740 Black;;3;3;;95;;f;test
2564;Pentium E2140;;2;1.6;;65;;f;test
2565;Pentium E2140;;2;1.6;;65;;f;test
2566;Pentium E2160;;2;1.8;;65;;f;test
2567;Pentium E2160;;2;1.8;;65;;f;test
2596;Phenom II X3 715 Black;;3;2.8;;95;;f;test
2597;Phenom II X4 970 Black;;4;3.5;;125;;f;test
2599;Phenom II X2 560 Black;;2;3.3;;80;;f;test
